2021-11-24/11:42:53		 AQI_52.csv: File Transformed successfully!!
2021-11-24/11:42:53		 AQI_53.csv: File Transformed successfully!!
2021-11-24/11:42:53		 AQI_54.csv: File Transformed successfully!!
2021-11-24/11:42:53		 AQI_55.csv: File Transformed successfully!!
2021-11-24/11:42:53		 AQI_66.csv: File Transformed successfully!!
2021-11-24/11:42:53		 AQI_67.csv: File Transformed successfully!!
2021-11-24/11:42:53		 AQI_80.csv: File Transformed successfully!!
2021-11-24/11:42:53		 AQI_86.csv: File Transformed successfully!!
2021-11-24/11:42:53		 AQI_94.csv: File Transformed successfully!!
2021-11-24/11:42:53		 AQI_95.csv: File Transformed successfully!!
2021-11-24/11:42:54		 AQI_97.csv: File Transformed successfully!!
2021-11-24/11:42:54		 AQI_98.csv: File Transformed successfully!!
2021-11-24/11:42:54		 AQI_99.csv: File Transformed successfully!!
2021-11-24/12:00:44		 AQI_08.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_09.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_10.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_11.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_12.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_14.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_15.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_26.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_27.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_35.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_36.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_38.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_39.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_40.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_41.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_42.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_47.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_50.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_51.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_52.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_53.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_54.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_55.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_66.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_67.csv: File Transformed successfully!!
2021-11-24/12:00:51		 AQI_80.csv: File Transformed successfully!!
