City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Chennai,2018-03-12,93.32,48.55,7.95,14.81,10.68,32.54,1.03,12.55,17.77,0.64,0.66,0.46,118.0,Moderate
Chennai,2018-03-13,30.74,48.55,8.06,12.19,10.34,32.28,1.02,7.09,18.79,0.91,0.96,0.46,153.0,Moderate
Chennai,2018-03-14,26.74,48.55,8.51,15.1,11.68,43.52,0.99,7.06,14.83,1.01,0.92,0.46,74.0,Satisfactory
Chennai,2018-03-15,30.99,48.55,10.02,17.35,14.92,22.56,0.95,7.31,13.35,0.89,0.83,0.46,69.0,Satisfactory
Chennai,2018-03-16,26.1,48.55,8.36,17.5,13.71,25.11,0.98,5.73,14.79,1.02,0.99,0.46,78.0,Satisfactory
Chennai,2018-03-17,37.93,48.55,10.02,21.89,16.28,27.18,1.09,8.57,19.13,0.73,1.09,0.46,81.0,Satisfactory
Chennai,2018-03-18,53.22,48.55,14.05,18.04,16.28,49.3,0.88,20.78,26.31,0.97,0.86,0.46,89.0,Satisfactory
Chennai,2018-03-19,50.29,48.55,12.84,18.55,17.53,20.84,0.99,10.23,24.22,0.96,1.13,0.46,88.0,Satisfactory
Chennai,2018-03-20,65.17,48.55,15.15,17.18,18.53,28.44,0.94,11.81,21.59,1.06,1.29,0.46,108.0,Moderate
Chennai,2018-03-21,56.5,48.55,10.89,19.74,16.58,28.56,1.18,9.22,21.6,1.2,1.14,0.46,115.0,Moderate
Chennai,2018-03-22,45.69,48.55,9.84,18.66,15.48,27.01,1.35,7.46,28.59,1.17,1.04,0.46,93.0,Satisfactory
Chennai,2018-03-23,56.79,48.55,7.37,17.43,12.52,35.85,0.98,3.84,32.94,1.26,1.55,0.46,94.0,Satisfactory
Chennai,2018-03-24,66.3,48.55,6.43,13.95,9.04,28.05,1.14,5.9,37.83,1.01,2.11,0.46,127.0,Moderate
Chennai,2018-03-25,51.92,48.55,8.23,11.45,7.91,25.24,1.11,3.54,25.78,1.2,1.99,0.46,117.0,Moderate
Chennai,2018-03-26,50.55,48.55,8.72,17.56,11.67,25.31,1.09,9.39,21.06,1.31,2.33,0.46,109.0,Moderate
Chennai,2018-03-27,51.77,48.55,9.44,19.36,13.31,24.62,1.07,7.14,12.2,1.12,2.12,0.46,109.0,Moderate
Chennai,2018-03-28,26.35,48.55,8.95,20.71,13.96,22.42,1.31,4.51,14.1,0.85,1.72,0.46,90.0,Satisfactory
Chennai,2018-03-29,22.93,48.55,6.89,21.13,12.43,28.69,0.91,5.95,20.3,0.73,1.66,0.46,70.0,Satisfactory
Chennai,2018-03-30,34.85,48.55,6.77,17.4,11.16,24.3,0.88,6.74,31.36,1.72,1.72,0.46,69.0,Satisfactory
Chennai,2018-03-31,39.89,48.55,9.23,17.85,12.92,18.18,0.82,6.34,52.63,1.82,1.14,0.46,75.0,Satisfactory
Chennai,2018-04-01,45.25,48.55,11.31,18.58,13.7,19.7,0.79,7.76,62.76,0.0,0.07,0.46,86.0,Satisfactory
Chennai,2018-04-02,29.45,48.55,9.46,21.64,13.43,30.41,0.74,6.52,46.55,0.15,1.2,0.46,67.0,Satisfactory
Chennai,2018-04-03,27.82,48.55,10.86,18.82,13.71,29.2,0.78,6.48,38.27,0.0,4.98,0.46,68.0,Satisfactory
Chennai,2018-04-04,36.15,48.55,11.83,22.47,16.57,25.19,0.97,5.81,55.15,0.65,2.92,0.46,71.0,Satisfactory
Chennai,2018-04-05,38.02,48.55,10.79,19.4,14.11,29.5,1.07,7.03,56.64,0.0,0.0,0.46,81.0,Satisfactory
Chennai,2018-04-06,38.53,48.55,12.02,23.13,17.25,23.39,0.91,6.96,46.24,0.7,0.64,0.46,103.0,Moderate
Chennai,2018-04-07,35.94,48.55,15.42,18.76,17.41,21.23,0.59,4.99,42.24,1.17,3.35,0.46,84.0,Satisfactory
Chennai,2018-04-08,24.52,48.55,19.95,16.5,19.85,20.5,0.58,11.9,46.15,1.25,1.94,0.46,62.0,Satisfactory
Chennai,2018-04-09,26.0,48.55,29.11,18.95,16.58,180.87,0.51,28.17,53.25,1.09,1.95,0.46,70.0,Satisfactory
Chennai,2018-04-10,36.7,48.55,16.07,15.68,16.73,17.58,0.78,30.67,23.9,0.09,5.55,0.46,66.0,Satisfactory
Chennai,2018-04-11,29.62,48.55,16.23,18.65,18.24,39.23,0.77,20.43,26.55,0.16,1.87,0.46,66.0,Satisfactory
Chennai,2018-04-12,26.52,48.55,13.48,17.92,15.81,56.56,0.85,6.2,20.72,2.86,7.75,0.46,61.0,Satisfactory
Chennai,2018-04-13,43.91,48.55,16.32,23.73,20.6,58.65,0.92,5.03,16.83,0.21,5.73,9.84,63.0,Satisfactory
Chennai,2018-04-14,22.23,48.55,14.1,20.28,17.46,54.65,0.86,4.51,23.02,0.0,1.4,9.84,61.0,Satisfactory
Chennai,2018-04-15,16.69,48.55,11.42,18.36,14.52,43.94,0.74,3.97,24.7,0.0,0.26,9.84,59.0,Satisfactory
Chennai,2018-04-16,21.91,48.55,12.67,20.35,16.4,43.78,0.9,4.74,23.77,0.18,0.84,9.84,61.0,Satisfactory
Chennai,2018-04-17,22.75,48.55,15.33,21.92,18.98,36.47,1.06,3.34,24.69,1.44,2.43,9.84,62.0,Satisfactory
Chennai,2018-04-18,41.36,48.55,14.92,21.77,18.74,27.48,0.87,3.88,24.28,4.76,10.79,9.84,56.0,Satisfactory
Chennai,2018-04-19,27.35,48.55,13.64,23.87,18.85,38.75,0.93,3.44,28.49,2.53,7.84,9.84,71.0,Satisfactory
Chennai,2018-04-20,36.7,48.55,12.44,23.67,17.82,25.66,0.82,4.3,31.08,3.19,5.94,9.84,65.0,Satisfactory
Chennai,2018-04-21,31.87,48.55,13.86,24.81,19.04,35.95,0.85,3.77,34.68,2.45,7.1,9.84,66.0,Satisfactory
Chennai,2018-04-22,31.22,48.55,10.76,20.92,15.3,28.55,0.8,3.78,32.97,1.13,6.3,9.84,55.0,Satisfactory
Chennai,2018-04-23,38.58,48.55,11.23,21.53,15.93,26.69,0.78,3.35,31.38,1.63,7.19,9.84,65.0,Satisfactory
Chennai,2018-04-24,51.52,48.55,15.66,23.98,20.6,37.21,0.85,4.11,27.93,1.84,9.66,9.84,76.0,Satisfactory
Chennai,2018-04-25,41.31,48.55,58.08,22.21,49.33,40.34,0.85,3.37,27.55,3.28,10.95,9.84,78.0,Satisfactory
Chennai,2018-04-26,44.01,48.55,38.85,26.2,39.58,54.19,0.81,5.12,29.81,3.82,11.14,9.84,89.0,Satisfactory
Chennai,2018-04-27,42.33,48.55,11.77,31.66,23.4,72.04,0.88,5.02,22.95,2.05,9.3,9.84,74.0,Satisfactory
Chennai,2018-04-28,29.34,48.55,12.69,33.17,24.85,73.01,0.82,4.86,15.65,2.85,9.53,9.84,62.0,Satisfactory
Chennai,2018-04-29,32.08,48.55,12.09,31.66,21.08,82.96,0.84,3.63,25.58,0.73,7.29,9.84,59.0,Satisfactory
Chennai,2018-04-30,42.57,48.55,12.94,40.82,24.69,87.15,0.8,3.97,29.47,1.38,9.11,9.84,68.0,Satisfactory
Chennai,2018-05-01,50.73,48.55,22.85,98.77,64.31,100.02,1.71,3.39,41.65,0.71,1.09,9.84,92.0,Satisfactory
Chennai,2018-05-02,62.94,48.55,19.0,70.0,47.54,77.84,0.91,5.4,57.07,1.25,2.05,9.84,112.0,Moderate
Chennai,2018-05-03,52.76,48.55,14.72,32.62,25.05,106.6,0.71,7.39,45.4,1.49,2.4,9.84,111.0,Moderate
Chennai,2018-05-04,76.95,48.55,38.8,73.31,77.57,209.32,0.77,4.36,40.29,1.45,2.35,9.84,127.0,Moderate
Chennai,2018-05-05,37.39,48.55,32.13,79.04,59.62,125.47,0.8,4.32,24.41,1.55,2.41,9.84,128.0,Moderate
Chennai,2018-05-06,39.42,48.55,19.12,39.13,32.55,31.71,0.73,5.11,30.79,1.45,2.35,9.84,77.0,Satisfactory
Chennai,2018-05-07,48.75,48.55,17.33,36.82,30.08,43.43,0.78,20.65,45.6,1.3,2.22,9.84,75.0,Satisfactory
