City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Lucknow,2018-12-25,165.37,31.58,12.58,44.5,31.82,39.51,1.05,10.46,38.3,0.18,0.37,0.0,338.0,Very Poor
Lucknow,2018-12-26,178.64,31.58,18.71,49.62,40.92,41.88,1.06,9.22,33.34,0.09,0.36,0.0,346.0,Very Poor
Lucknow,2018-12-27,159.21,31.58,12.88,46.26,33.69,40.11,0.87,10.99,28.24,0.07,2.58,0.0,324.0,Very Poor
Lucknow,2018-12-28,153.63,31.58,8.28,35.07,24.82,34.77,0.72,8.72,29.98,0.08,0.28,0.0,325.0,Very Poor
Lucknow,2018-12-29,200.84,31.58,17.8,45.98,38.3,43.22,0.81,13.86,36.71,0.57,0.2,0.0,339.0,Very Poor
Lucknow,2018-12-30,258.08,31.58,41.93,60.69,65.59,65.01,0.95,14.27,32.4,0.06,0.86,0.0,388.0,Very Poor
Lucknow,2018-12-31,248.51,31.58,40.06,61.89,64.7,61.3,1.01,14.7,31.43,0.08,0.9,0.0,403.0,Severe
Lucknow,2019-01-01,272.75,31.58,45.79,62.96,69.19,48.72,1.03,15.52,29.14,0.09,1.04,0.0,413.0,Severe
Lucknow,2019-01-02,342.7,31.58,107.42,78.56,127.24,65.39,1.26,16.56,23.3,0.16,2.8,0.0,457.0,Severe
Lucknow,2019-01-03,218.08,31.58,18.21,58.14,44.7,34.08,0.99,9.0,24.84,0.09,0.99,0.0,410.0,Severe
Lucknow,2019-01-04,205.72,31.58,47.54,48.86,63.12,41.41,1.05,8.46,26.35,0.08,1.19,0.0,374.0,Very Poor
Lucknow,2019-01-05,256.56,31.58,55.4,64.58,77.95,51.0,1.12,9.5,21.6,0.1,0.69,0.0,390.0,Very Poor
Lucknow,2019-01-06,185.35,31.58,9.71,38.08,26.99,31.5,0.89,6.86,27.44,0.04,0.27,0.0,383.0,Very Poor
Lucknow,2019-01-07,91.92,31.58,27.44,34.94,40.1,35.87,1.06,7.8,21.14,0.05,0.62,0.0,246.0,Poor
Lucknow,2019-01-08,100.13,31.58,11.32,35.23,27.47,29.36,0.91,5.87,25.19,0.04,0.27,0.0,239.0,Poor
Lucknow,2019-01-09,113.44,31.58,8.26,35.21,25.04,27.3,0.92,6.76,30.25,0.03,0.29,0.0,239.0,Poor
Lucknow,2019-01-10,123.15,31.58,34.17,45.12,52.2,32.95,1.1,8.18,35.39,0.05,1.35,0.0,270.0,Poor
Lucknow,2019-01-11,189.97,31.58,46.48,67.86,72.65,36.73,1.16,8.36,17.19,0.12,1.59,0.0,339.0,Very Poor
Lucknow,2019-01-12,196.35,31.58,47.93,64.1,72.04,43.75,1.27,14.64,21.35,0.11,0.8,0.0,346.0,Very Poor
Lucknow,2019-01-13,247.31,31.58,49.66,57.64,69.4,52.35,0.95,11.44,21.44,0.07,0.73,0.0,396.0,Very Poor
Lucknow,2019-01-14,123.74,31.58,9.43,29.47,22.63,26.73,0.8,6.75,21.1,0.04,0.14,0.0,347.0,Very Poor
Lucknow,2019-01-15,93.46,31.58,11.95,36.8,28.64,28.32,0.85,8.14,23.64,0.03,0.14,0.0,184.0,Moderate
Lucknow,2019-01-16,201.61,31.58,41.62,59.97,64.84,39.84,1.1,9.01,25.62,0.05,0.3,0.0,305.0,Very Poor
Lucknow,2019-01-17,266.0,31.58,41.15,48.05,58.21,45.63,0.96,8.31,21.83,0.06,0.52,0.0,415.0,Severe
Lucknow,2019-01-18,166.95,31.58,12.42,43.9,32.96,31.04,1.04,6.77,28.03,0.03,0.31,0.0,363.0,Very Poor
Lucknow,2019-01-19,146.52,31.58,12.04,47.99,34.34,34.77,1.2,8.94,30.68,0.03,0.28,0.0,310.0,Very Poor
Lucknow,2019-01-20,200.11,31.58,43.44,57.68,65.11,47.8,1.41,10.39,31.84,0.08,0.51,0.0,337.0,Very Poor
Lucknow,2019-01-21,221.07,31.58,50.93,53.49,68.52,61.31,1.44,8.37,30.66,0.08,0.54,0.0,391.0,Very Poor
Lucknow,2019-01-22,199.91,31.58,11.12,36.59,27.72,34.31,1.17,8.31,40.16,0.03,0.24,0.0,350.0,Very Poor
Lucknow,2019-01-23,107.47,31.58,13.12,33.59,27.42,33.18,1.19,8.18,24.96,0.04,0.26,0.0,331.0,Very Poor
Lucknow,2019-01-24,117.88,31.58,55.18,42.98,66.82,48.76,1.45,9.77,19.5,0.07,0.43,0.0,218.0,Poor
Lucknow,2019-01-25,176.21,31.58,66.45,38.96,72.12,54.07,1.49,9.04,11.27,0.08,0.54,0.0,341.0,Very Poor
Lucknow,2019-01-26,58.65,31.58,13.4,22.82,22.42,28.83,1.14,6.41,15.62,0.03,0.17,0.0,208.0,Poor
Lucknow,2019-01-27,74.33,31.58,9.48,25.51,20.66,28.15,1.03,5.81,24.53,0.06,0.13,0.0,142.0,Moderate
Lucknow,2019-01-28,98.43,31.58,10.66,28.08,21.36,27.88,1.0,7.05,27.44,0.06,0.11,0.0,204.0,Poor
Lucknow,2019-01-29,103.41,31.58,11.53,28.06,20.76,28.24,1.05,7.75,30.81,0.07,0.13,0.0,214.0,Poor
Lucknow,2019-01-30,130.59,31.58,30.56,39.6,43.25,36.93,0.96,8.53,24.29,0.05,0.09,0.0,285.0,Poor
Lucknow,2019-01-31,173.26,31.58,82.8,60.3,98.18,54.68,1.14,9.86,15.54,5.83,0.21,0.0,334.0,Very Poor
Lucknow,2019-02-01,170.24,31.58,37.03,57.06,59.29,43.14,1.29,9.8,18.87,0.06,0.35,0.0,329.0,Very Poor
Lucknow,2019-02-02,165.91,31.58,17.09,46.98,37.83,37.32,0.97,9.25,22.52,0.05,0.24,0.0,316.0,Very Poor
Lucknow,2019-02-03,181.48,31.58,5.77,33.37,21.29,26.2,0.84,6.58,19.59,0.08,0.1,0.0,354.0,Very Poor
Lucknow,2019-02-04,133.58,31.58,6.42,36.58,23.33,25.71,1.13,6.89,19.64,0.07,0.15,0.0,283.0,Poor
Lucknow,2019-02-05,173.33,31.58,35.74,57.52,58.32,38.6,1.25,8.62,19.34,0.07,0.35,0.0,280.0,Poor
Lucknow,2019-02-06,204.17,31.58,53.57,59.33,73.63,43.74,1.95,10.4,8.89,0.14,0.89,0.0,374.0,Very Poor
Lucknow,2019-02-07,70.36,31.58,7.24,33.02,23.15,30.06,1.01,7.33,14.14,0.05,0.25,0.0,274.0,Poor
Lucknow,2019-02-08,87.57,31.58,14.7,39.51,35.78,32.55,1.16,7.85,15.71,0.05,0.29,0.0,132.0,Moderate
Lucknow,2019-02-09,81.51,31.58,7.51,27.17,22.39,27.48,0.75,6.73,26.11,0.07,0.1,0.0,204.0,Poor
Lucknow,2019-02-10,70.83,31.58,6.51,29.99,23.52,28.14,0.82,6.83,28.68,0.08,0.08,0.0,175.0,Moderate
Lucknow,2019-02-11,101.7,31.58,13.14,44.08,37.8,35.53,0.98,8.57,29.79,0.05,0.19,0.0,189.0,Moderate
Lucknow,2019-02-12,129.67,31.58,38.2,60.47,64.09,45.36,1.38,10.07,25.59,0.06,0.37,0.0,253.0,Poor
Lucknow,2019-02-13,171.14,31.58,86.31,57.48,97.46,63.21,1.58,9.9,22.79,0.12,0.64,0.0,311.0,Very Poor
Lucknow,2019-02-14,206.21,31.58,74.04,51.57,85.74,74.76,1.62,9.37,19.44,0.03,0.14,0.0,367.0,Very Poor
Lucknow,2019-02-15,111.88,31.58,7.01,32.71,22.06,35.25,0.84,6.82,22.07,0.04,0.05,0.0,304.0,Very Poor
