City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Chennai,2019-01-06,92.7,48.55,8.24,14.49,21.97,63.61,0.86,14.62,30.74,0.07,2.1,9.84,186.0,Moderate
Chennai,2019-01-07,70.73,48.55,7.24,14.19,20.57,63.64,0.86,13.32,31.93,0.03,2.19,9.84,168.0,Moderate
Chennai,2019-01-08,59.25,48.55,8.56,16.18,23.85,93.11,0.84,17.38,31.65,0.1,3.21,9.84,108.0,Moderate
Chennai,2019-01-09,98.11,48.55,7.21,13.92,20.37,191.23,0.85,12.12,46.05,0.03,1.36,9.84,185.0,Moderate
Chennai,2019-01-10,89.42,48.55,9.15,14.95,23.31,162.85,0.81,11.52,39.2,0.07,2.11,9.84,181.0,Moderate
Chennai,2019-01-11,129.92,48.55,8.0,13.7,21.07,64.09,0.9,15.08,48.29,0.14,2.6,9.84,199.0,Moderate
Chennai,2019-01-12,65.08,48.55,7.11,12.88,19.41,62.16,0.89,9.37,44.27,0.16,1.12,9.84,183.0,Moderate
Chennai,2019-01-13,38.64,48.55,6.7,12.93,19.21,63.82,1.08,13.8,41.06,0.15,2.16,9.84,105.0,Moderate
Chennai,2019-01-14,58.12,48.55,5.55,12.57,17.7,63.79,0.97,19.57,54.55,1.64,2.23,9.84,110.0,Moderate
Chennai,2019-01-15,45.89,48.55,5.4,11.56,16.57,63.11,1.2,19.9,52.62,0.08,0.74,9.84,115.0,Moderate
Chennai,2019-01-16,49.6,48.55,5.7,11.33,16.56,63.85,0.84,17.67,40.96,0.08,2.72,9.84,97.0,Satisfactory
Chennai,2019-01-17,68.44,48.55,5.84,11.15,16.51,63.66,0.89,17.24,50.43,0.22,4.33,9.84,111.0,Moderate
Chennai,2019-01-18,66.96,48.55,5.99,11.39,17.1,64.33,1.04,19.54,56.44,0.3,2.38,9.84,140.0,Moderate
Chennai,2019-01-19,58.99,48.55,6.01,11.74,17.4,63.91,0.89,17.95,45.77,0.02,2.82,9.84,131.0,Moderate
Chennai,2019-01-20,40.6,48.55,5.22,12.43,17.11,65.22,0.97,11.27,35.54,0.07,2.69,9.84,102.0,Moderate
Chennai,2019-01-21,65.59,48.55,5.98,12.28,17.8,48.52,0.92,9.07,39.49,0.09,3.86,9.84,98.0,Satisfactory
Chennai,2019-01-22,70.94,48.55,6.12,12.25,18.36,16.57,0.87,15.54,40.99,0.22,1.92,9.84,176.0,Moderate
Chennai,2019-01-23,27.64,48.55,6.02,12.07,18.09,16.84,0.87,16.66,39.45,0.13,0.33,9.84,92.0,Satisfactory
Chennai,2019-01-24,45.17,48.55,5.66,12.0,17.49,30.26,1.01,15.18,36.67,0.18,0.74,9.84,99.0,Satisfactory
Chennai,2019-01-25,28.02,48.55,6.76,12.21,18.97,65.78,0.9,8.45,27.67,0.13,0.48,9.84,73.0,Satisfactory
Chennai,2019-01-26,19.33,48.55,5.23,10.38,15.61,65.95,0.83,8.05,25.33,0.1,1.44,9.84,68.0,Satisfactory
Chennai,2019-01-27,16.58,48.55,5.53,10.66,16.2,65.49,0.97,10.56,22.97,0.1,0.5,9.84,70.0,Satisfactory
Chennai,2019-01-28,18.58,48.55,5.36,10.43,15.61,65.01,0.99,16.53,33.89,0.05,0.31,9.84,71.0,Satisfactory
Chennai,2019-01-29,41.52,48.55,5.37,12.27,17.65,64.29,1.01,26.06,37.91,0.08,0.06,9.84,84.0,Satisfactory
Chennai,2019-01-30,55.3,48.55,5.41,12.14,17.54,64.06,0.97,15.23,45.84,0.03,0.05,9.84,120.0,Moderate
Chennai,2019-01-31,81.09,48.55,5.7,11.73,17.43,64.5,0.98,10.95,41.59,0.02,0.05,9.84,144.0,Moderate
Chennai,2019-02-01,42.07,48.55,5.66,11.85,17.51,64.85,0.93,20.89,45.34,0.12,0.0,9.84,147.0,Moderate
Chennai,2019-02-02,42.72,48.55,5.49,12.05,17.55,64.64,0.93,17.98,37.96,0.03,0.88,9.84,99.0,Satisfactory
Chennai,2019-02-03,31.09,48.55,5.43,11.26,16.7,64.87,0.93,9.54,36.74,0.0,0.0,9.84,84.0,Satisfactory
Chennai,2019-02-04,46.95,48.55,5.28,11.89,17.17,64.78,0.94,8.95,43.27,0.03,0.2,9.84,86.0,Satisfactory
Chennai,2019-02-05,44.37,48.55,5.38,12.34,17.72,64.59,1.01,8.29,55.63,0.0,0.16,9.84,115.0,Moderate
Chennai,2019-02-06,60.55,48.55,6.33,13.45,17.64,65.28,0.99,8.82,52.24,0.0,1.18,9.84,149.0,Moderate
Chennai,2019-02-07,52.94,48.55,5.92,12.16,18.08,64.89,1.1,9.04,41.97,0.03,1.16,9.84,138.0,Moderate
Chennai,2019-02-08,28.42,48.55,5.83,11.83,17.64,66.42,1.07,9.01,33.31,0.0,1.12,9.84,87.0,Satisfactory
Chennai,2019-02-09,21.04,48.55,5.63,10.92,16.49,66.69,0.91,12.96,18.49,0.0,1.25,9.84,77.0,Satisfactory
Chennai,2019-02-10,12.77,48.55,5.81,10.88,16.68,66.05,1.0,16.47,18.45,0.0,1.13,9.84,67.0,Satisfactory
Chennai,2019-02-11,37.37,48.55,5.19,10.27,15.46,65.78,1.04,26.99,31.72,0.03,1.04,9.84,77.0,Satisfactory
Chennai,2019-02-12,56.04,48.55,4.77,10.73,15.5,64.94,1.01,13.74,57.84,0.06,1.14,9.84,126.0,Moderate
Chennai,2019-02-13,106.04,48.55,4.84,12.07,16.89,64.45,0.96,10.38,79.41,0.03,0.93,9.84,200.0,Moderate
Chennai,2019-02-14,178.54,48.55,4.91,11.68,16.58,65.17,1.03,11.87,56.47,0.0,0.0,9.84,283.0,Poor
Chennai,2019-02-15,42.85,48.55,5.76,11.22,16.98,66.85,1.08,12.88,32.8,0.0,0.0,9.84,187.0,Moderate
Chennai,2019-02-16,45.41,48.55,5.62,11.06,16.68,66.58,0.94,6.55,26.4,0.09,0.05,9.84,87.0,Satisfactory
Chennai,2019-02-17,44.51,48.55,5.62,10.9,16.52,67.23,0.92,7.69,18.38,0.12,0.2,9.84,93.0,Satisfactory
Chennai,2019-02-18,26.55,48.55,5.61,10.6,16.21,67.5,0.98,9.65,17.49,0.02,0.0,9.84,80.0,Satisfactory
Chennai,2019-02-19,17.11,48.55,5.63,10.58,16.21,67.6,0.99,9.46,17.42,0.0,0.0,9.84,78.0,Satisfactory
Chennai,2019-02-20,16.6,48.55,7.43,11.75,19.18,67.41,0.91,20.24,20.24,0.03,0.0,9.84,66.0,Satisfactory
Chennai,2019-02-21,32.92,48.55,6.14,11.21,17.35,66.43,1.06,21.39,21.84,0.0,0.0,9.84,75.0,Satisfactory
Chennai,2019-02-22,37.45,48.55,6.23,11.82,18.06,66.08,1.09,23.61,32.82,0.0,0.05,9.84,104.0,Moderate
Chennai,2019-02-23,25.55,48.55,8.62,13.88,22.5,42.52,1.01,17.84,42.25,0.03,0.0,9.84,101.0,Moderate
Chennai,2019-02-24,37.37,48.55,8.53,12.35,20.87,16.42,0.95,10.08,33.15,0.0,0.0,9.84,89.0,Satisfactory
Chennai,2019-02-25,74.05,48.55,5.93,11.7,17.55,16.61,1.12,6.72,29.26,0.05,0.0,9.84,105.0,Moderate
Chennai,2019-02-26,199.98,48.55,6.87,12.07,18.94,16.9,1.08,9.36,18.88,0.02,0.42,9.84,279.0,Poor
