City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Kolkata,2018-09-25,35.85,63.79,10.5,42.61,53.11,7.76,1.28,3.73,15.07,5.0,6.71,3.14,75.0,Satisfactory
Kolkata,2018-09-26,46.55,75.42,19.96,44.05,64.01,9.1,1.44,3.41,17.11,4.34,7.97,3.14,91.0,Satisfactory
Kolkata,2018-09-27,57.59,88.21,12.61,49.83,62.43,4.8,1.55,2.82,16.0,4.08,8.9,3.14,99.0,Satisfactory
Kolkata,2018-09-28,63.57,97.56,10.95,52.45,63.4,5.13,1.52,5.17,19.57,6.78,9.12,3.14,102.0,Moderate
Kolkata,2018-09-29,60.23,94.97,7.88,51.87,59.75,6.38,1.52,4.28,23.9,3.81,9.03,3.14,103.0,Moderate
Kolkata,2018-09-30,66.41,108.46,5.17,41.87,47.03,8.55,1.5,3.24,35.84,2.55,9.46,3.14,121.0,Moderate
Kolkata,2018-10-01,70.58,134.51,46.34,62.14,108.47,10.63,1.78,6.26,31.93,3.43,7.92,3.14,143.0,Moderate
Kolkata,2018-10-02,62.53,113.68,3.53,38.27,41.8,13.83,1.38,6.65,42.14,2.18,8.62,3.14,118.0,Moderate
Kolkata,2018-10-03,61.41,111.2,10.99,38.11,49.09,10.76,1.45,9.27,46.57,1.93,8.4,3.14,105.0,Moderate
Kolkata,2018-10-04,79.58,140.16,20.05,62.66,82.71,11.8,1.61,8.72,34.78,3.4,7.99,3.14,145.0,Moderate
Kolkata,2018-10-05,91.06,147.47,69.15,51.91,108.15,15.54,2.01,5.49,33.31,4.65,10.25,3.14,188.0,Moderate
Kolkata,2018-10-06,99.65,161.16,78.93,51.44,127.37,14.98,2.75,5.52,29.99,8.62,10.83,3.14,220.0,Poor
Kolkata,2018-10-07,101.69,161.62,94.74,49.66,144.4,11.16,3.04,9.67,30.2,10.14,10.78,3.14,250.0,Poor
Kolkata,2018-10-08,102.72,169.29,92.72,61.66,152.52,13.55,2.75,8.21,38.19,5.4,7.46,3.14,237.0,Poor
