City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amaravati,2020-04-20,7.81,23.53,1.5,4.13,3.42,6.17,0.0,15.82,19.01,0.01,0.25,0.1,30.0,Good
Amaravati,2020-04-21,7.35,20.8,1.47,4.16,3.4,5.9,0.0,13.92,18.71,0.02,0.25,0.1,26.0,Good
Amaravati,2020-04-22,9.51,24.12,1.32,3.97,2.97,6.56,0.0,12.29,19.18,0.05,0.23,0.1,26.0,Good
Amaravati,2020-04-23,11.34,26.66,1.39,3.97,3.24,6.59,0.0,12.29,21.01,0.02,0.23,0.1,30.0,Good
Amaravati,2020-04-24,9.36,26.24,1.39,3.87,3.19,6.41,0.0,12.29,22.75,0.02,0.19,0.1,31.0,Good
Amaravati,2020-04-25,14.44,38.88,1.36,4.26,3.38,6.81,0.0,12.29,31.0,0.0,0.2,0.12,43.0,Good
Amaravati,2020-04-26,11.9,29.15,1.33,6.18,4.37,5.43,0.0,12.29,44.57,0.06,0.31,0.12,56.0,Satisfactory
Amaravati,2020-04-27,16.45,32.26,1.41,5.66,4.17,7.0,0.0,19.3,36.76,0.06,0.24,0.12,52.0,Satisfactory
Amaravati,2020-04-28,10.61,33.88,1.46,5.21,3.95,5.9,0.0,19.3,32.29,0.05,0.43,0.12,41.0,Good
Amaravati,2020-04-29,35.38,63.42,1.42,11.76,7.42,7.98,0.0,19.3,34.99,0.36,0.81,0.1,43.0,Good
Amaravati,2020-04-30,26.8,50.65,1.35,6.22,4.41,7.86,0.0,19.3,39.46,0.08,0.47,0.1,56.0,Satisfactory
Amaravati,2020-05-01,28.33,54.31,1.4,4.92,3.75,9.08,0.0,14.34,37.13,0.03,0.3,0.1,51.0,Satisfactory
Amaravati,2020-05-02,24.11,50.38,1.37,4.1,3.3,9.1,0.0,8.61,36.34,0.01,0.22,0.1,60.0,Satisfactory
Amaravati,2020-05-03,21.42,54.69,1.45,4.25,3.44,8.33,0.0,7.58,31.83,0.01,0.25,0.1,52.0,Satisfactory
Amaravati,2020-05-04,22.79,56.2,1.46,4.24,3.44,8.16,0.0,7.55,30.11,0.03,0.25,0.1,55.0,Satisfactory
Amaravati,2020-05-05,22.79,11.0,1.12,10.39,4.17,5.07,0.0,20.43,13.04,0.02,0.2,137.45,58.0,Satisfactory
Amaravati,2020-05-06,14.28,35.43,1.65,5.46,4.24,8.57,0.0,6.68,19.59,0.02,0.29,137.45,44.0,Good
Amaravati,2020-05-07,18.76,41.98,1.52,5.55,3.77,8.35,0.0,7.49,19.9,0.02,0.33,137.45,45.0,Good
Amaravati,2020-05-08,18.81,47.91,1.44,5.84,4.27,8.22,0.0,8.18,23.44,0.02,0.28,137.45,43.0,Good
Amaravati,2020-05-09,18.48,43.55,1.28,4.73,3.54,7.79,0.0,7.27,24.81,0.02,0.27,137.45,54.0,Satisfactory
Amaravati,2020-05-10,14.26,34.12,1.36,4.75,3.64,7.39,0.0,8.02,23.19,0.07,0.47,137.45,42.0,Good
Amaravati,2020-05-11,17.1,44.23,1.56,6.38,4.65,7.21,0.0,5.75,20.46,0.05,0.51,137.45,43.0,Good
Amaravati,2020-05-12,13.9,36.24,1.5,5.16,3.81,7.31,0.38,13.56,19.85,0.05,0.36,137.45,39.0,Good
Amaravati,2020-05-13,13.11,36.14,1.52,4.87,3.64,6.48,0.38,9.04,19.71,0.04,0.32,137.45,41.0,Good
Amaravati,2020-05-14,12.05,34.03,1.5,4.68,3.71,6.75,0.38,7.64,17.21,0.03,0.3,137.45,36.0,Good
Amaravati,2020-05-15,13.47,36.01,1.52,5.95,4.37,5.54,0.38,8.83,21.83,0.06,0.54,0.1,39.0,Good
Amaravati,2020-05-16,13.47,35.01,1.47,5.28,4.02,6.14,0.38,9.38,28.31,0.03,0.52,0.1,41.0,Good
Amaravati,2020-05-17,30.46,44.57,1.78,14.19,8.73,8.16,0.38,11.96,29.87,0.05,0.94,0.1,48.0,Good
Amaravati,2020-05-18,30.46,54.8,5.95,14.07,12.33,7.88,0.38,10.08,33.55,0.13,1.07,0.1,55.0,Satisfactory
Amaravati,2020-05-19,34.15,71.94,1.64,15.46,9.56,8.67,0.38,10.28,51.22,0.14,1.45,0.1,77.0,Satisfactory
Amaravati,2020-05-20,41.46,108.2,1.56,16.97,9.83,9.88,0.38,13.83,49.1,0.31,2.08,0.22,93.0,Satisfactory
Amaravati,2020-05-21,27.66,102.68,1.43,11.41,6.96,8.65,0.38,10.27,50.56,0.2,1.08,0.22,105.0,Moderate
Amaravati,2020-05-22,29.9,103.68,1.47,10.11,6.4,11.55,0.38,12.04,52.47,0.16,0.82,0.1,103.0,Moderate
Amaravati,2020-05-23,21.15,72.04,1.51,4.87,3.81,12.22,0.52,9.79,50.76,0.02,0.24,0.1,88.0,Satisfactory
Amaravati,2020-05-24,18.09,60.29,1.41,4.2,3.39,10.29,0.45,8.1,48.0,5.09,0.2,4.95,66.0,Satisfactory
Amaravati,2020-05-25,16.93,57.4,1.42,3.63,3.07,11.22,0.47,7.48,40.43,6.44,0.26,4.95,57.0,Satisfactory
Amaravati,2020-05-26,22.01,72.96,1.57,3.89,3.35,11.74,0.49,7.24,48.22,0.42,0.31,84.72,69.0,Satisfactory
Amaravati,2020-05-27,24.22,66.04,1.39,4.33,3.44,11.7,0.5,7.19,24.36,4.9,0.42,84.72,69.0,Satisfactory
Amaravati,2020-05-28,25.16,66.12,1.57,5.41,4.15,12.46,0.6,7.99,13.71,0.44,0.38,0.1,64.0,Satisfactory
Amaravati,2020-05-29,20.96,68.44,1.52,5.69,4.27,10.97,0.6,10.85,17.45,0.08,0.49,0.1,70.0,Satisfactory
Amaravati,2020-05-30,22.5,62.08,1.46,6.94,4.87,10.98,0.57,17.09,21.62,0.09,0.67,0.12,63.0,Satisfactory
Amaravati,2020-05-31,19.96,58.07,1.42,5.43,4.05,10.08,0.55,9.11,21.51,0.05,0.34,0.3,62.0,Satisfactory
