City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Gurugram,2017-04-10,177.17,395.4,3.61,10.79,17.91,1.44,0.51,22.44,76.52,0.02,1.41,0.0,319.0,Very Poor
Gurugram,2017-04-11,104.07,395.4,5.14,10.61,17.91,1.44,0.56,29.11,72.13,0.02,1.36,0.0,321.0,Very Poor
Gurugram,2017-04-12,113.49,395.4,4.29,9.45,17.91,1.44,0.6,19.77,62.93,0.02,1.36,0.0,222.0,Poor
Gurugram,2017-04-13,226.83,395.4,2.89,6.46,17.91,1.44,0.86,32.23,49.7,0.02,1.65,0.0,351.0,Very Poor
Gurugram,2017-04-14,215.31,395.4,2.68,6.84,17.91,1.44,0.84,21.98,54.99,0.02,1.27,0.0,388.0,Very Poor
Gurugram,2017-04-15,196.49,395.4,3.22,7.49,17.91,1.44,0.69,23.56,54.34,0.01,0.83,0.0,353.0,Very Poor
Gurugram,2017-04-16,179.5,395.4,3.42,7.54,17.91,1.44,0.66,36.14,60.24,0.02,2.12,0.0,363.0,Very Poor
Gurugram,2017-04-17,208.88,395.4,3.35,8.57,22.96,1.44,0.7,13.63,58.26,0.02,2.12,0.0,328.0,Very Poor
Gurugram,2017-04-18,292.02,395.4,3.21,8.31,22.96,1.44,0.64,14.55,41.41,0.03,3.09,0.0,405.0,Severe
Gurugram,2017-04-19,180.07,395.4,3.88,10.95,22.96,1.44,0.61,20.39,37.73,0.02,1.72,0.0,403.0,Severe
Gurugram,2017-04-20,193.39,395.4,3.6,9.14,22.96,1.44,0.71,19.03,31.15,0.02,1.76,0.0,349.0,Very Poor
Gurugram,2017-04-21,242.41,395.4,3.24,11.56,22.96,1.44,0.58,6.58,29.46,0.03,2.71,0.0,354.0,Very Poor
Gurugram,2017-04-22,368.79,395.4,4.46,12.31,22.96,1.44,0.56,3.02,43.58,0.03,2.66,0.0,449.0,Severe
Gurugram,2017-04-23,153.67,395.4,6.41,12.76,22.96,1.44,0.54,8.3,49.37,0.03,2.65,0.0,411.0,Severe
Gurugram,2017-04-24,129.93,395.4,5.8,12.78,22.96,1.44,0.53,10.69,58.51,0.02,2.53,0.0,335.0,Very Poor
Gurugram,2017-04-25,98.3,395.4,5.71,13.55,22.96,1.44,0.5,12.75,73.95,0.03,3.26,0.0,236.0,Poor
Gurugram,2017-04-26,89.69,395.4,5.15,13.43,22.96,1.44,0.47,14.79,54.0,0.03,2.97,0.0,212.0,Poor
Gurugram,2017-04-27,269.29,395.4,4.31,13.44,22.96,1.44,0.47,34.88,40.66,0.02,2.39,0.0,360.0,Very Poor
Gurugram,2017-04-28,174.87,395.4,5.45,13.26,22.96,1.44,0.49,22.07,42.62,0.02,2.41,0.0,387.0,Very Poor
Gurugram,2017-04-29,118.41,395.4,5.9,18.31,22.96,1.44,0.54,21.75,53.42,0.02,2.26,0.0,328.0,Very Poor
Gurugram,2017-04-30,62.45,395.4,5.98,17.19,22.96,1.44,0.49,11.0,42.33,0.02,1.41,0.0,210.0,Poor
Gurugram,2017-05-01,64.79,395.4,5.96,21.2,22.96,1.44,0.6,9.59,49.84,0.03,2.33,0.0,98.0,Satisfactory
Gurugram,2017-05-02,113.6,395.4,5.9,24.39,22.96,1.44,0.58,13.2,64.12,0.02,1.98,0.0,168.0,Moderate
Gurugram,2017-05-03,154.13,395.4,6.0,20.37,22.96,1.44,0.54,25.14,29.94,0.03,2.55,0.0,299.0,Poor
Gurugram,2017-05-04,217.14,395.4,5.93,17.96,22.96,1.44,0.48,7.41,51.83,0.02,2.27,0.0,363.0,Very Poor
Gurugram,2017-05-05,203.45,395.4,5.96,19.65,22.96,1.44,0.62,15.76,60.8,0.03,2.83,0.0,376.0,Very Poor
Gurugram,2017-05-06,181.36,395.4,5.93,34.12,22.96,1.44,0.69,30.42,53.66,0.03,2.75,0.0,357.0,Very Poor
Gurugram,2017-05-07,183.68,395.4,5.96,31.54,22.96,1.44,0.63,37.23,58.54,0.03,2.78,0.0,346.0,Very Poor
Gurugram,2017-05-08,158.7,395.4,5.52,17.98,22.96,1.44,0.7,12.52,84.47,0.03,2.99,0.0,344.0,Very Poor
Gurugram,2017-05-09,186.31,395.4,7.65,19.64,22.96,1.44,0.42,14.3,38.15,0.03,2.47,0.0,333.0,Very Poor
Gurugram,2017-05-10,192.79,395.4,5.97,17.35,22.96,1.44,0.46,3.85,49.95,0.03,3.04,0.0,354.0,Very Poor
Gurugram,2017-05-11,134.78,395.4,5.83,20.12,22.96,1.44,0.53,4.26,45.77,0.02,2.14,0.0,334.0,Very Poor
Gurugram,2017-05-12,310.69,395.4,13.91,22.02,22.96,1.44,0.51,3.08,43.39,0.04,4.29,0.0,409.0,Severe
Gurugram,2017-05-13,187.24,395.4,5.94,24.73,22.96,1.44,0.59,9.16,57.01,0.03,2.87,0.0,388.0,Very Poor
Gurugram,2017-05-14,387.02,395.4,5.92,19.04,22.96,1.44,0.52,16.09,48.23,0.03,2.49,0.0,373.0,Very Poor
Gurugram,2017-05-15,146.02,395.4,5.94,29.87,22.96,1.44,0.63,19.27,26.85,0.03,2.92,0.0,460.0,Severe
Gurugram,2017-05-16,237.12,395.4,5.94,24.15,22.96,1.44,0.52,20.34,52.4,0.03,2.38,0.0,337.0,Very Poor
Gurugram,2017-05-17,67.32,395.4,9.52,24.01,22.96,1.44,0.31,2.54,61.28,0.02,1.52,0.0,337.0,Moderate
Gurugram,2017-05-18,67.32,395.4,9.52,24.01,22.96,1.44,0.31,2.54,61.28,0.02,1.52,0.0,337.0,Moderate
Gurugram,2017-05-19,158.91,395.4,94.24,39.59,22.96,1.44,0.78,2.74,43.03,0.03,2.76,0.0,337.0,Moderate
Gurugram,2017-05-20,173.26,395.4,29.87,34.58,22.96,1.44,0.37,3.02,33.47,0.03,3.26,0.0,337.0,Moderate
Gurugram,2017-05-21,173.26,395.4,29.87,34.58,22.96,1.44,0.37,3.02,33.47,0.03,3.26,0.0,460.0,Moderate
Gurugram,2017-05-22,236.59,395.4,84.9,139.46,22.96,1.44,0.28,3.39,9.93,0.02,2.11,0.0,460.0,Moderate
Gurugram,2017-05-23,378.89,395.4,54.93,77.48,22.96,1.44,0.52,1.1,49.68,0.03,2.92,0.0,460.0,Moderate
Gurugram,2017-05-24,156.33,395.4,10.95,34.46,22.96,1.44,0.61,2.81,33.86,0.03,3.41,0.0,460.0,Severe
Gurugram,2017-05-25,162.88,395.4,16.63,19.45,22.96,1.44,0.54,1.93,69.75,0.02,1.95,0.0,460.0,Moderate
