City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Jorapokhar,2019-10-06,56.7,68.22,8.7,9.28,99.99,6.27,1.06,4.18,19.73,4.64,0.0,3.14,102.0,Moderate
Jorapokhar,2019-10-07,50.2,65.3,8.75,9.16,99.99,6.29,1.06,5.27,130.43,4.64,0.0,3.14,212.0,Poor
Jorapokhar,2019-10-08,41.38,62.51,8.64,9.0,99.99,6.27,1.06,4.73,64.11,4.64,0.0,3.14,92.0,Satisfactory
Jorapokhar,2019-10-09,41.9,61.22,8.9,9.27,99.99,6.3,1.06,5.61,64.11,4.64,0.0,3.14,67.0,Satisfactory
Jorapokhar,2019-10-10,42.01,67.7,9.18,9.23,99.99,6.31,1.06,5.42,50.65,4.64,0.0,3.14,71.0,Satisfactory
Jorapokhar,2019-10-11,52.04,73.54,9.14,9.38,99.99,6.34,1.06,5.48,50.65,4.64,0.0,3.14,73.0,Satisfactory
Jorapokhar,2019-10-12,59.98,65.74,8.84,9.19,99.99,6.3,1.06,5.61,41.85,4.64,0.0,3.14,93.0,Satisfactory
Jorapokhar,2019-10-13,44.37,68.79,8.86,9.22,99.99,6.27,1.06,5.42,38.53,4.64,0.0,3.14,76.0,Satisfactory
Jorapokhar,2019-10-14,63.43,65.79,8.92,9.3,99.99,6.28,1.06,8.11,45.78,4.64,0.0,3.14,76.0,Moderate
Jorapokhar,2019-10-15,79.47,73.07,9.09,9.35,99.99,6.31,1.06,7.36,22.47,4.64,0.0,3.14,76.0,Moderate
Jorapokhar,2019-10-16,73.9,59.7,8.98,9.36,99.99,6.33,1.06,9.02,20.84,4.64,0.0,3.14,84.0,Moderate
Jorapokhar,2019-10-17,91.02,70.56,9.17,9.34,99.99,6.29,1.06,6.86,33.9,4.64,0.0,3.14,84.0,Moderate
Jorapokhar,2019-10-18,50.11,69.3,8.57,9.38,99.99,6.28,1.06,6.32,21.78,4.64,0.0,3.14,84.0,Satisfactory
Jorapokhar,2019-10-19,63.06,96.55,8.94,9.6,99.99,6.21,1.06,6.42,128.86,4.64,0.0,3.14,191.0,Moderate
Jorapokhar,2019-10-20,43.39,99.26,8.76,9.32,99.99,6.31,1.06,5.7,75.22,4.64,0.0,3.14,144.0,Moderate
Jorapokhar,2019-10-21,38.41,93.33,8.73,9.12,99.99,6.26,1.06,4.59,47.6,4.64,0.0,3.14,101.0,Moderate
Jorapokhar,2019-10-22,51.9,97.1,9.05,9.28,99.99,6.32,1.06,6.01,49.86,4.64,0.0,3.14,92.0,Satisfactory
Jorapokhar,2019-10-23,66.99,107.17,8.94,9.47,99.99,6.31,1.06,6.65,43.48,4.64,0.0,3.14,113.0,Moderate
Jorapokhar,2019-10-24,33.44,97.26,8.86,9.14,99.99,6.32,1.06,4.63,52.47,4.64,0.0,3.14,103.0,Moderate
Jorapokhar,2019-10-25,28.03,93.26,8.62,9.33,99.99,6.22,1.06,5.04,33.36,4.64,0.0,3.14,97.0,Satisfactory
Jorapokhar,2019-10-26,24.21,91.49,8.86,9.12,99.99,6.29,1.06,4.51,17.29,4.64,0.0,3.14,90.0,Satisfactory
Jorapokhar,2019-10-27,48.94,102.92,9.1,9.2,99.99,6.36,1.06,6.24,18.68,4.64,0.0,3.14,97.0,Satisfactory
Jorapokhar,2019-10-28,54.86,92.45,8.94,9.36,99.99,6.33,1.06,6.76,21.78,4.64,0.0,3.14,98.0,Satisfactory
Jorapokhar,2019-10-29,60.84,111.14,8.89,9.11,99.99,6.32,1.06,4.92,43.44,4.64,0.0,3.14,100.0,Satisfactory
Jorapokhar,2019-10-30,54.31,95.27,8.7,8.97,99.99,6.29,1.06,4.52,93.49,4.64,0.0,3.14,126.0,Moderate
Jorapokhar,2019-10-31,69.65,103.78,8.63,9.13,99.99,6.28,1.06,4.86,51.53,4.64,0.0,3.14,129.0,Moderate
Jorapokhar,2019-11-01,69.63,101.4,8.69,8.85,99.99,6.32,1.06,4.94,26.34,4.64,0.0,3.14,136.0,Moderate
Jorapokhar,2019-11-02,64.19,97.62,8.69,8.9,99.99,6.33,1.06,5.2,25.54,4.64,0.0,3.14,125.0,Moderate
Jorapokhar,2019-11-03,84.44,113.21,8.79,9.05,99.99,6.33,1.06,4.67,26.13,4.64,0.0,3.14,140.0,Moderate
Jorapokhar,2019-11-04,81.96,116.47,8.77,9.02,99.99,6.32,1.06,4.43,44.71,4.64,0.0,3.14,189.0,Moderate
Jorapokhar,2019-11-05,78.73,111.58,8.72,8.94,99.99,6.29,1.06,4.92,35.58,4.64,0.0,3.14,155.0,Moderate
Jorapokhar,2019-11-06,73.1,107.97,8.81,9.2,99.99,6.29,1.06,5.36,46.57,4.64,0.0,3.14,159.0,Moderate
Jorapokhar,2019-11-07,87.87,122.77,9.0,9.72,99.99,6.33,1.06,6.3,96.66,4.64,0.0,3.14,173.0,Moderate
Jorapokhar,2019-11-08,82.13,115.11,8.81,9.66,99.99,6.28,1.06,6.06,94.89,4.64,0.0,3.14,211.0,Poor
Jorapokhar,2019-11-09,45.74,98.21,8.73,9.25,99.99,6.29,1.06,5.88,70.21,4.64,0.0,3.14,117.0,Moderate
Jorapokhar,2019-11-10,42.71,98.61,8.7,9.21,99.99,6.3,1.06,6.06,56.02,4.64,0.0,3.14,97.0,Satisfactory
Jorapokhar,2019-11-11,55.88,125.52,8.65,9.06,99.99,6.31,1.06,5.21,50.6,4.64,0.0,3.14,104.0,Moderate
Jorapokhar,2019-11-12,62.87,110.06,8.91,9.08,99.99,6.33,1.06,6.0,71.96,4.64,0.0,3.14,118.0,Moderate
Jorapokhar,2019-11-13,80.47,210.86,8.84,9.5,99.99,6.25,1.06,9.44,54.55,4.64,0.0,3.14,134.0,Moderate
Jorapokhar,2019-11-14,90.81,168.74,8.74,9.31,99.99,6.33,1.06,22.07,59.11,4.64,0.0,3.14,216.0,Poor
Jorapokhar,2019-11-15,82.54,167.98,8.86,9.25,99.99,6.31,1.06,22.07,60.81,4.64,0.0,3.14,170.0,Moderate
Jorapokhar,2019-11-16,81.0,161.63,8.73,9.28,99.99,6.29,1.06,22.07,62.66,4.64,0.0,3.14,178.0,Moderate
Jorapokhar,2019-11-17,74.97,164.01,8.93,9.34,99.99,6.35,1.06,27.3,56.37,4.64,0.0,3.14,156.0,Moderate
