City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Mumbai,2019-03-26,40.69,151.14,42.96,23.48,66.44,7.21,1.71,1.22,35.31,1.16,1.44,0.45,147.0,Moderate
Mumbai,2019-03-27,34.51,127.47,26.75,10.1,36.82,7.21,1.6,24.1,29.84,0.6,1.44,0.45,128.0,Moderate
Mumbai,2019-03-28,32.94,105.11,29.22,10.48,39.7,7.21,1.61,42.91,32.64,1.35,1.44,0.45,111.0,Moderate
Mumbai,2019-03-29,29.55,100.84,20.58,5.19,25.73,7.21,1.5,28.83,21.98,0.55,1.44,0.45,98.0,Satisfactory
Mumbai,2019-03-30,24.24,89.43,25.92,5.62,31.47,7.21,1.49,28.87,17.4,0.73,1.44,0.45,101.0,Moderate
Mumbai,2019-03-31,18.43,90.53,27.07,5.77,32.73,7.21,1.46,28.27,14.4,0.42,1.44,0.45,87.0,Satisfactory
Mumbai,2019-04-01,19.8,87.09,24.96,2.49,27.18,7.21,1.43,29.66,13.07,0.82,1.44,0.45,90.0,Satisfactory
Mumbai,2019-04-02,22.9,89.81,21.03,18.8,39.82,7.21,1.7,22.45,43.42,1.05,1.44,0.45,86.0,Satisfactory
Mumbai,2019-04-03,27.35,92.65,32.87,29.36,62.24,7.21,1.79,22.97,35.71,0.55,1.44,0.45,138.0,Moderate
Mumbai,2019-04-04,16.91,66.3,33.32,19.55,52.88,7.21,1.72,22.44,21.67,0.53,1.44,0.45,94.0,Satisfactory
Mumbai,2019-04-05,19.09,60.59,36.51,19.43,55.94,7.21,1.76,22.69,25.83,0.57,1.44,0.45,94.0,Satisfactory
Mumbai,2019-04-06,17.84,66.09,43.1,21.09,64.19,7.21,1.78,22.87,14.0,0.57,1.44,0.45,95.0,Satisfactory
Mumbai,2019-04-07,18.74,71.13,52.31,22.34,74.65,7.21,1.85,23.04,15.02,1.02,1.44,0.45,98.0,Satisfactory
Mumbai,2019-04-08,16.1,59.23,44.91,21.77,66.69,7.21,1.78,23.21,21.22,0.43,1.44,0.45,95.0,Satisfactory
Mumbai,2019-04-09,16.87,60.7,38.38,18.49,56.87,7.21,1.73,23.29,22.29,0.58,1.44,0.45,93.0,Satisfactory
Mumbai,2019-04-10,14.22,52.28,40.36,17.8,58.16,7.21,1.77,23.47,19.22,0.4,1.44,0.45,94.0,Satisfactory
Mumbai,2019-04-11,17.17,64.97,29.93,15.32,45.25,7.21,1.74,22.99,20.81,0.32,1.44,0.45,92.0,Satisfactory
Mumbai,2019-04-12,22.32,76.97,44.14,20.93,65.09,7.21,1.83,23.7,24.64,1.52,1.44,0.45,96.0,Satisfactory
Mumbai,2019-04-13,33.1,114.51,71.9,34.12,103.73,7.21,2.06,25.33,25.95,0.84,1.44,0.45,109.0,Moderate
Mumbai,2019-04-14,22.7,83.82,48.02,30.65,78.67,7.21,1.91,23.82,15.09,0.61,1.44,0.45,108.0,Moderate
Mumbai,2019-04-15,20.7,84.28,32.61,28.62,61.23,7.21,1.88,22.74,35.39,0.98,1.44,0.45,102.0,Moderate
Mumbai,2019-04-16,27.28,106.52,35.04,24.92,59.96,7.21,1.85,19.95,28.41,0.82,1.44,0.45,101.0,Moderate
Mumbai,2019-04-17,13.15,50.12,21.7,20.49,42.2,7.21,1.69,19.47,19.05,0.17,1.44,0.45,93.0,Satisfactory
Mumbai,2019-04-18,21.44,88.17,37.19,34.18,71.36,7.21,1.82,20.13,32.75,0.32,1.44,0.45,96.0,Satisfactory
Mumbai,2019-04-19,21.5,95.76,34.43,27.23,61.67,7.21,1.84,20.07,21.3,0.37,1.44,0.45,99.0,Satisfactory
Mumbai,2019-04-20,22.27,75.24,49.89,34.26,84.15,7.21,1.92,20.16,23.3,0.48,1.44,0.45,102.0,Moderate
Mumbai,2019-04-21,21.17,69.22,35.8,23.45,59.26,7.21,1.89,20.28,14.96,0.57,1.44,0.45,100.0,Satisfactory
Mumbai,2019-04-22,20.98,75.94,38.67,27.14,65.82,7.21,1.86,22.6,24.44,0.49,1.44,0.45,98.0,Satisfactory
Mumbai,2019-04-23,18.09,71.69,42.5,22.31,64.82,7.21,1.84,24.63,32.45,0.27,1.44,0.45,97.0,Satisfactory
Mumbai,2019-04-24,16.24,67.42,26.75,14.65,41.4,7.21,1.77,23.62,34.41,0.19,1.44,0.45,93.0,Satisfactory
Mumbai,2019-04-25,17.48,57.09,25.69,15.74,41.43,7.21,1.76,22.37,31.8,0.19,1.44,0.45,90.0,Satisfactory
Mumbai,2019-04-26,17.19,74.24,28.67,18.72,47.4,7.21,1.79,20.85,27.22,0.23,1.44,0.45,93.0,Satisfactory
Mumbai,2019-04-27,26.23,99.86,53.5,24.73,78.23,7.21,1.94,24.2,22.74,0.47,1.44,0.45,100.0,Satisfactory
Mumbai,2019-04-28,23.77,99.29,29.63,27.13,57.84,7.21,1.88,23.41,16.98,0.48,1.44,0.45,103.0,Moderate
Mumbai,2019-04-29,22.63,88.73,29.2,22.3,51.5,7.21,1.85,23.8,15.57,0.3,1.44,0.45,97.0,Satisfactory
Mumbai,2019-04-30,21.86,85.4,31.26,19.2,50.47,7.21,1.84,24.52,18.42,0.33,1.44,0.45,96.0,Satisfactory
Mumbai,2019-05-01,19.09,89.67,22.92,12.89,35.82,7.21,1.77,23.3,12.82,0.15,1.44,0.45,90.0,Satisfactory
Mumbai,2019-05-02,21.65,114.38,22.82,13.17,36.0,7.21,1.76,22.6,23.08,0.17,1.44,0.45,105.0,Moderate
Mumbai,2019-05-03,17.93,85.82,29.42,14.87,44.64,7.21,1.8,19.09,11.7,0.34,1.44,0.45,97.0,Satisfactory
Mumbai,2019-05-04,16.54,76.05,27.84,16.35,44.2,7.21,1.8,19.29,16.35,0.17,1.44,0.45,92.0,Satisfactory
Mumbai,2019-05-05,14.8,71.97,21.85,9.55,31.4,7.21,1.79,19.68,17.61,0.16,1.44,0.45,91.0,Satisfactory
Mumbai,2019-05-06,15.73,61.85,30.79,12.71,43.5,7.21,1.8,19.8,19.01,0.25,1.44,0.45,93.0,Satisfactory
Mumbai,2019-05-07,13.48,52.14,37.16,13.09,50.76,7.21,1.82,21.62,21.85,0.29,1.44,0.45,95.0,Satisfactory
Mumbai,2019-05-08,12.89,47.56,23.64,9.3,32.94,7.21,1.76,24.67,24.36,0.4,1.44,0.45,90.0,Satisfactory
Mumbai,2019-05-09,10.95,46.73,26.4,11.28,37.68,7.21,1.76,24.3,11.22,0.29,1.44,0.45,91.0,Satisfactory
Mumbai,2019-05-10,12.8,49.69,23.09,11.68,34.78,7.21,1.75,24.35,18.84,0.22,1.44,0.45,89.0,Satisfactory
Mumbai,2019-05-11,12.96,45.38,32.79,19.48,52.27,7.21,1.78,24.31,16.01,0.25,1.44,0.45,93.0,Satisfactory
Mumbai,2019-05-12,14.62,62.45,36.73,18.89,55.62,7.21,1.81,24.16,15.75,0.3,1.44,0.45,94.0,Satisfactory
Mumbai,2019-05-13,18.73,70.93,23.25,14.77,38.03,7.21,1.77,24.34,15.94,0.21,1.44,0.45,92.0,Satisfactory
Mumbai,2019-05-14,15.43,64.72,35.17,16.34,51.52,7.21,1.67,22.41,20.13,0.22,1.44,0.45,92.0,Satisfactory
Mumbai,2019-05-15,15.19,64.91,30.53,15.87,46.41,7.21,1.45,22.61,22.69,0.28,1.44,0.45,80.0,Satisfactory
Mumbai,2019-05-16,16.01,58.49,25.31,14.07,39.38,7.21,1.43,19.58,19.94,0.16,1.44,0.45,76.0,Satisfactory
