City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Guwahati,2019-03-09,116.75,206.29,49.98,21.55,105.15,23.52,1.19,18.87,18.93,4.07,4.46,4.73,265.0,Poor
Guwahati,2019-03-10,124.9,237.1,32.68,19.23,74.24,21.46,1.09,24.61,46.36,2.61,4.46,4.73,303.0,Very Poor
Guwahati,2019-03-11,124.94,213.84,33.84,17.73,74.55,23.91,1.31,23.78,37.83,3.21,4.46,4.73,267.0,Poor
Guwahati,2019-03-12,123.34,206.87,43.05,16.95,88.79,25.52,0.99,23.95,48.98,3.65,4.46,4.73,316.0,Very Poor
Guwahati,2019-03-13,100.41,187.83,14.3,21.98,47.03,19.71,1.03,21.27,47.36,2.2,4.46,4.73,212.0,Poor
Guwahati,2019-03-14,138.45,258.63,41.09,30.42,100.02,22.77,1.29,23.2,41.21,3.22,4.46,4.73,303.0,Very Poor
Guwahati,2019-03-15,138.03,280.4,37.55,24.74,88.13,27.43,1.23,20.42,31.23,2.87,4.46,4.73,321.0,Very Poor
Guwahati,2019-03-16,131.69,322.56,26.94,23.71,69.62,26.43,1.03,17.5,17.1,2.24,4.46,4.73,312.0,Very Poor
Guwahati,2019-03-17,105.33,191.58,13.36,24.87,48.6,24.28,1.12,21.56,34.22,3.42,4.46,4.73,231.0,Poor
Guwahati,2019-03-18,153.22,269.54,43.03,31.59,104.49,25.47,1.61,27.63,28.29,3.73,4.46,4.73,308.0,Very Poor
Guwahati,2019-03-19,91.58,145.24,16.57,16.31,44.67,25.42,0.9,21.79,46.73,1.77,4.46,4.73,303.0,Very Poor
Guwahati,2019-03-20,66.5,100.2,8.26,15.9,30.58,21.3,0.82,20.72,42.59,1.54,4.46,4.73,118.0,Moderate
Guwahati,2019-03-21,73.33,200.77,6.29,12.45,23.67,17.6,0.59,22.51,59.44,4.3,4.46,4.73,148.0,Moderate
Guwahati,2019-03-22,53.17,244.18,2.47,8.41,13.07,14.5,0.4,24.26,65.28,0.75,4.46,4.73,198.0,Moderate
Guwahati,2019-03-23,67.46,139.67,4.0,12.05,19.48,14.17,0.72,24.23,43.92,1.51,4.46,4.73,150.0,Moderate
Guwahati,2019-03-24,70.83,143.99,9.08,14.69,30.63,14.97,0.86,26.9,49.96,1.74,4.46,4.73,123.0,Moderate
Guwahati,2019-03-25,118.05,236.55,39.03,26.61,92.58,18.56,1.21,25.51,47.1,2.59,4.46,4.73,268.0,Poor
Guwahati,2019-03-26,119.32,225.03,33.81,24.83,82.09,23.34,1.12,24.25,34.24,2.27,4.46,4.73,306.0,Very Poor
Guwahati,2019-03-27,62.29,87.81,3.88,10.6,17.76,22.19,0.67,17.84,30.71,1.08,4.46,4.73,156.0,Moderate
Guwahati,2019-03-28,79.69,138.38,15.8,18.47,45.75,22.37,0.93,21.41,41.97,1.84,4.46,4.73,109.0,Moderate
Guwahati,2019-03-29,114.47,203.18,44.78,29.01,104.59,25.66,1.26,23.39,34.37,3.22,4.46,4.73,258.0,Poor
Guwahati,2019-03-30,140.62,225.28,23.24,23.92,63.81,25.77,1.26,34.54,26.71,3.34,4.46,4.73,300.0,Poor
Guwahati,2019-03-31,48.63,64.89,3.37,11.86,18.25,23.15,0.5,19.19,45.26,0.91,4.46,4.73,236.0,Poor
Guwahati,2019-04-01,35.72,50.06,5.84,11.66,22.08,17.19,0.76,18.67,43.8,1.26,4.46,4.73,74.0,Satisfactory
Guwahati,2019-04-02,58.96,91.04,12.89,14.85,37.05,18.8,0.76,22.37,36.43,1.34,4.46,4.73,109.0,Moderate
Guwahati,2019-04-03,23.13,153.45,2.57,13.17,18.32,14.1,0.43,26.11,63.06,0.63,4.46,4.73,99.0,Satisfactory
Guwahati,2019-04-04,29.99,62.01,2.54,11.69,16.7,13.07,0.37,32.4,55.27,0.65,4.46,4.73,120.0,Moderate
Guwahati,2019-04-05,25.78,36.21,3.58,12.24,19.01,12.53,0.46,18.57,45.95,7.07,4.46,4.73,61.0,Satisfactory
Guwahati,2019-04-06,56.1,82.28,9.85,15.92,33.23,13.76,0.74,19.42,32.52,1.54,4.46,4.73,74.0,Satisfactory
Guwahati,2019-04-07,43.93,69.9,9.78,13.05,30.04,14.9,0.64,22.18,36.2,0.88,4.46,4.73,103.0,Moderate
Guwahati,2019-04-08,28.95,40.1,4.23,11.5,19.28,13.98,0.48,17.93,38.96,4.3,4.46,4.73,59.0,Satisfactory
Guwahati,2019-04-09,30.06,40.09,5.18,14.44,23.96,12.78,0.56,16.14,30.94,0.93,4.46,4.73,53.0,Satisfactory
Guwahati,2019-04-10,37.76,67.42,12.41,14.69,36.13,12.7,0.75,17.21,43.24,1.42,4.46,4.73,74.0,Satisfactory
Guwahati,2019-04-11,66.63,135.87,29.45,18.87,68.61,17.3,1.03,21.65,36.44,1.73,4.46,4.73,114.0,Moderate
Guwahati,2019-04-12,79.26,153.64,22.78,25.1,64.26,16.62,0.95,20.12,40.9,2.06,4.46,4.73,161.0,Moderate
Guwahati,2019-04-13,85.8,141.6,12.13,25.11,46.8,16.31,0.88,19.03,41.0,1.47,4.46,4.73,179.0,Moderate
Guwahati,2019-04-14,51.4,76.17,5.16,19.16,29.0,13.48,0.59,18.75,41.84,1.12,4.46,4.73,140.0,Moderate
Guwahati,2019-04-15,47.34,61.7,3.98,16.23,23.92,10.45,0.66,17.31,33.38,0.97,4.46,4.73,67.0,Satisfactory
Guwahati,2019-04-16,42.85,56.26,3.8,16.64,24.06,9.93,0.55,16.33,44.77,1.02,4.46,4.73,90.0,Satisfactory
Guwahati,2019-04-17,87.16,110.57,11.34,18.99,38.95,10.46,0.84,17.26,39.13,19.37,4.46,4.73,92.0,Satisfactory
Guwahati,2019-04-18,58.84,108.28,18.52,13.0,44.3,14.55,0.78,16.8,23.46,82.72,4.46,4.73,181.0,Moderate
Guwahati,2019-04-19,58.98,108.56,10.25,16.64,34.65,13.91,0.8,17.35,36.7,1.47,4.46,4.73,107.0,Moderate
Guwahati,2019-04-20,52.39,99.12,3.93,12.81,20.17,12.75,0.52,17.64,52.49,0.84,4.46,4.73,107.0,Moderate
