City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amritsar,2020-03-30,21.35,68.57,17.8,11.05,26.97,12.07,0.71,7.21,22.14,1.37,1.66,1.98,67.0,Satisfactory
Amritsar,2020-03-31,21.91,70.76,17.8,10.68,27.51,11.97,0.78,6.82,22.14,1.38,1.54,2.0,69.0,Satisfactory
Amritsar,2020-04-01,14.18,60.07,18.48,10.29,27.96,12.1,0.77,6.3,22.14,1.32,1.59,1.98,65.0,Satisfactory
Amritsar,2020-04-02,13.97,63.92,17.69,10.82,27.94,11.74,0.78,6.22,22.14,1.34,1.58,2.01,63.0,Satisfactory
Amritsar,2020-04-03,17.52,61.42,17.88,10.69,26.99,12.16,0.76,6.57,22.14,1.34,1.61,1.98,61.0,Satisfactory
Amritsar,2020-04-04,22.8,50.68,17.62,10.84,27.79,12.01,0.69,7.4,22.14,1.42,1.78,2.0,58.0,Satisfactory
Amritsar,2020-04-05,34.73,68.87,16.81,10.78,25.99,11.93,0.69,8.68,22.14,1.52,1.89,1.94,60.0,Satisfactory
Amritsar,2020-04-06,34.73,68.87,16.81,10.78,25.99,11.93,0.69,8.68,22.14,1.52,1.89,1.94,60.0,Satisfactory
Amritsar,2020-04-07,34.73,68.87,16.81,10.78,25.99,11.93,0.69,8.68,22.14,1.52,1.89,1.94,60.0,Satisfactory
Amritsar,2020-04-08,34.73,68.87,16.81,10.78,25.99,11.93,0.69,8.68,22.14,1.52,1.89,1.94,60.0,Satisfactory
Amritsar,2020-04-09,16.56,25.76,18.57,13.16,31.0,10.78,0.4,7.07,22.14,0.68,0.69,1.0,45.0,Satisfactory
Amritsar,2020-04-10,16.56,25.76,18.57,13.16,31.0,10.78,0.4,7.07,22.14,0.68,0.69,1.0,45.0,Satisfactory
Amritsar,2020-04-11,16.56,25.76,18.57,13.16,31.0,10.78,0.4,7.07,22.14,0.68,0.69,1.0,45.0,Satisfactory
Amritsar,2020-04-12,20.09,34.55,18.33,11.21,28.01,12.03,0.85,8.49,22.14,1.4,1.55,2.0,45.0,Good
Amritsar,2020-04-13,29.47,59.84,17.65,11.55,27.61,12.12,0.59,9.63,22.14,1.65,1.98,2.0,52.0,Satisfactory
Amritsar,2020-04-14,22.37,50.46,17.34,10.67,23.17,12.09,0.64,6.33,22.14,1.21,1.4,1.79,59.0,Satisfactory
Amritsar,2020-04-15,32.05,75.31,20.86,18.96,28.66,15.16,0.73,6.55,23.62,1.26,1.5,1.83,68.0,Satisfactory
Amritsar,2020-04-16,22.61,48.2,23.03,17.01,33.2,14.86,0.73,7.65,36.07,1.39,1.75,2.0,61.0,Satisfactory
Amritsar,2020-04-17,17.45,38.01,18.7,11.4,28.05,12.66,0.7,7.76,42.81,1.38,1.47,1.98,45.0,Good
Amritsar,2020-04-18,8.8,18.03,21.51,11.43,31.09,12.4,0.8,5.88,43.02,1.32,1.42,2.0,43.0,Good
Amritsar,2020-04-19,11.33,30.5,18.12,11.33,27.79,12.74,0.82,8.85,43.02,1.35,1.54,2.0,44.0,Good
Amritsar,2020-04-20,16.35,56.92,17.86,12.25,28.27,11.95,0.68,9.64,43.02,1.37,1.54,2.0,51.0,Satisfactory
Amritsar,2020-04-21,9.84,39.79,19.48,13.03,29.25,12.24,0.79,13.02,43.02,1.33,1.43,2.0,47.0,Good
Amritsar,2020-04-22,13.72,51.33,21.63,14.02,31.4,12.69,0.74,9.17,43.02,1.36,1.6,2.0,48.0,Good
Amritsar,2020-04-23,14.67,59.48,23.49,16.84,33.39,12.8,0.84,8.59,43.02,1.31,1.15,2.0,56.0,Satisfactory
Amritsar,2020-04-24,20.68,78.36,20.44,16.25,32.22,12.53,0.67,8.94,43.02,1.3,1.1,2.0,68.0,Satisfactory
Amritsar,2020-04-25,15.74,67.22,22.04,16.48,30.38,13.38,0.77,17.19,43.02,1.29,1.09,1.98,74.0,Satisfactory
Amritsar,2020-04-26,14.78,54.18,19.74,15.44,29.59,12.11,0.69,11.17,43.02,1.3,1.1,5.05,60.0,Satisfactory
Amritsar,2020-04-27,11.2,42.21,38.1,32.33,46.31,19.36,0.75,6.42,44.12,1.25,1.06,8.48,51.0,Satisfactory
Amritsar,2020-04-28,13.63,52.77,28.22,21.57,37.97,14.54,0.79,7.08,43.57,1.3,1.1,8.81,56.0,Satisfactory
Amritsar,2020-04-29,24.61,86.73,26.75,19.19,36.02,14.53,0.76,9.0,43.57,1.3,1.1,8.72,72.0,Satisfactory
Amritsar,2020-04-30,23.98,112.59,25.07,17.26,34.95,13.57,0.76,8.5,43.57,1.3,1.1,8.81,102.0,Moderate
Amritsar,2020-05-01,32.01,141.16,20.93,14.93,30.16,12.8,0.78,9.5,43.57,1.3,1.1,8.72,118.0,Moderate
Amritsar,2020-05-02,28.37,114.11,20.75,16.36,29.69,12.73,0.63,8.45,43.57,1.29,1.09,8.72,118.0,Moderate
Amritsar,2020-05-03,15.46,65.47,23.93,18.66,35.6,13.06,0.78,7.07,26.82,1.29,1.09,8.72,91.0,Satisfactory
Amritsar,2020-05-04,19.64,72.31,19.2,16.05,28.92,12.8,0.81,8.64,27.11,1.29,1.09,8.67,61.0,Satisfactory
Amritsar,2020-05-05,18.81,74.73,19.59,14.69,29.97,12.13,0.73,7.44,27.1,1.3,1.1,8.72,77.0,Satisfactory
Amritsar,2020-05-06,23.32,76.19,19.26,12.39,28.6,12.35,0.82,10.3,27.11,1.3,1.1,8.72,75.0,Satisfactory
Amritsar,2020-05-07,18.39,48.21,33.61,26.95,39.88,18.62,0.73,8.99,37.82,1.23,1.04,8.23,60.0,Satisfactory
Amritsar,2020-05-08,34.0,83.68,30.38,24.27,39.73,15.15,0.83,10.06,43.77,1.3,1.1,8.81,71.0,Satisfactory
Amritsar,2020-05-09,37.31,87.52,22.45,18.78,31.81,13.86,0.75,10.47,43.73,1.29,1.09,8.72,87.0,Satisfactory
Amritsar,2020-05-10,39.62,91.93,20.3,13.69,30.2,12.41,0.7,10.16,43.77,1.3,1.1,8.82,94.0,Satisfactory
Amritsar,2020-05-11,32.14,70.6,20.67,15.65,30.08,12.66,0.67,7.82,43.77,1.3,1.1,8.72,75.0,Satisfactory
Amritsar,2020-05-12,24.59,49.58,21.79,16.79,30.38,13.27,0.82,9.74,43.77,1.3,1.1,8.82,61.0,Satisfactory
Amritsar,2020-05-13,44.76,86.65,19.55,15.63,30.07,12.96,0.74,9.08,43.77,1.27,1.08,8.63,67.0,Satisfactory
Amritsar,2020-05-14,42.22,78.34,21.56,15.84,32.32,12.57,0.61,9.03,43.77,1.3,1.1,8.81,95.0,Satisfactory
Amritsar,2020-05-15,21.61,43.74,22.88,15.94,32.43,12.76,0.91,9.9,43.77,1.3,1.1,8.72,52.0,Satisfactory
Amritsar,2020-05-16,35.91,69.27,20.01,14.83,29.75,12.49,0.75,9.26,43.77,1.3,1.1,8.81,61.0,Satisfactory
Amritsar,2020-05-17,39.96,77.29,20.35,15.98,30.7,12.66,0.75,11.8,43.77,1.3,1.1,8.81,75.0,Satisfactory
Amritsar,2020-05-18,44.56,76.97,22.31,17.48,27.56,12.49,0.67,26.68,43.77,1.06,0.89,6.88,76.0,Satisfactory
Amritsar,2020-05-19,34.55,59.21,21.5,14.96,30.21,12.55,0.69,22.25,52.91,1.3,1.1,8.81,65.0,Satisfactory
Amritsar,2020-05-20,43.35,68.58,21.26,15.0,30.04,12.84,0.69,11.86,64.78,1.3,1.1,8.72,68.0,Satisfactory
Amritsar,2020-05-21,52.58,81.31,20.08,15.55,30.04,12.53,0.68,10.76,64.78,1.3,1.1,8.82,80.0,Satisfactory
Amritsar,2020-05-22,68.2,113.31,19.12,13.29,29.59,12.35,0.62,23.16,41.89,1.29,1.09,8.72,115.0,Moderate
Amritsar,2020-05-23,54.78,96.64,18.45,12.8,28.26,11.97,0.48,18.35,17.0,1.3,1.1,8.82,106.0,Moderate
Amritsar,2020-05-24,29.01,55.05,18.64,11.41,26.45,12.15,0.61,19.01,17.0,1.22,1.03,8.26,74.0,Satisfactory
Amritsar,2020-05-25,16.29,72.17,17.69,10.6,27.18,12.27,0.76,17.75,17.0,1.3,1.1,8.82,69.0,Satisfactory
Amritsar,2020-05-26,51.47,90.41,18.07,10.31,27.12,12.29,0.97,34.05,17.0,1.29,1.09,8.63,81.0,Satisfactory
Amritsar,2020-05-27,37.21,66.23,16.63,10.97,26.78,11.95,0.56,14.45,17.0,1.3,1.1,8.81,77.0,Satisfactory
Amritsar,2020-05-28,43.68,108.29,17.75,10.33,27.66,12.14,0.49,10.98,17.0,1.3,1.1,8.72,81.0,Satisfactory
