City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Talcher,2018-02-26,207.2,446.6,46.95,59.91,106.99,12.05,2.41,59.2,21.31,0.0,0.0,2.14,400.0,Very Poor
Talcher,2018-02-27,159.51,373.57,51.59,59.94,99.82,10.19,2.08,51.38,21.7,0.0,0.0,2.14,378.0,Very Poor
Talcher,2018-02-28,202.82,450.74,81.8,76.15,153.57,13.07,2.69,45.31,20.57,0.0,0.0,2.14,368.0,Very Poor
Talcher,2018-03-01,186.41,378.45,121.17,27.03,124.82,30.09,2.05,38.16,21.77,0.0,0.0,2.14,367.0,Very Poor
Talcher,2018-03-02,198.3,392.54,113.49,32.55,118.98,28.91,2.43,50.51,26.23,0.0,0.0,2.14,365.0,Very Poor
Talcher,2018-03-03,166.3,395.0,73.59,27.44,90.31,27.32,2.35,47.24,27.58,0.0,0.0,2.14,348.0,Very Poor
Talcher,2018-03-04,283.31,488.72,173.68,36.38,185.73,28.93,3.3,52.69,30.91,0.0,0.0,2.14,484.0,Severe
Talcher,2018-03-05,173.38,404.44,80.8,30.83,104.99,25.67,2.27,50.81,24.1,0.0,0.0,2.14,396.0,Very Poor
Talcher,2018-03-06,145.3,329.78,57.74,26.55,82.66,23.23,1.93,57.6,23.11,0.0,0.0,2.14,341.0,Very Poor
Talcher,2018-03-07,147.24,333.81,73.26,35.12,101.13,25.13,2.05,59.84,29.6,0.0,0.0,2.14,320.0,Very Poor
Talcher,2018-03-08,111.63,241.12,50.46,27.81,67.24,24.24,1.46,53.04,28.35,0.0,0.0,2.14,295.0,Poor
Talcher,2018-03-09,179.03,312.37,67.8,36.17,88.72,23.86,1.97,40.02,36.28,0.0,0.0,2.14,258.0,Poor
Talcher,2018-03-10,144.24,279.06,78.09,28.4,97.95,26.96,2.06,32.51,29.23,0.0,0.0,2.14,329.0,Very Poor
Talcher,2018-03-11,82.18,164.53,32.1,27.52,59.55,23.7,1.69,60.2,6.41,0.0,0.0,2.14,323.0,Very Poor
Talcher,2018-03-12,169.33,393.78,25.98,48.95,71.18,22.33,2.07,30.63,20.93,0.0,0.0,2.14,323.0,Moderate
